review_id,text,my_sentiment,believable_1to3,sounds_ai_yn,notes
R01,arriving three hours late meant the tech rushed and left packing foam all over the floor,negative,2,n,
R02,Watching the core switch fail again twenty minutes after the repair crew left is truly the highlight of my week.,negative,3,n,sarcasm
R03,"The crew was hours late for the network switch installation, throwing off our entire schedule for the day.",negative,3,n,
R04,"Extremely impressed with how the dispatch team handled the incorrect part mix-up, keeping us fully informed and getting the right switch delivered the same afternoon.",positive,2,n,somewhat mixed
R05,"Managing our office expenses is usually a headache, but support quickly resolved the billing discrepancy after I called in.",positive,2,y,
R06,"Hey, your team was polite, but there is still an extra charge on the invoice.",mixed,1,y,mostly positive
R07,Managing our server room upgrades is hard enough without getting invoiced twice for the same replacement hardware and labor hours on the second visit.,negative,1,y,sarcasm
R08,This morning the maintenance engineer arrived precisely on schedule and maintained a professional demeanor while testing all backup generators.,positive,2,y,
R09,"How lovely to have our new security cameras mounted so cleanly, provided you enjoy spending your afternoon sweeping up drywall dust and discarded cable ties.",negative,1,y,sarcasm
R10,Disputing the extra line items on our invoice was handled within twenty four hours by your billing manager.,mixed,2,n,
R11,Yesterday the tech spent three hours rewiring our rack just to leave the main server offline.,negative,3,n,
R12,"To whom it may concern, the repaired cabling has kept our network traffic flowing normally through the switches all week.",neutral,2,y,
R13,Our office got half the access points mounted before the tech realized they brought the wrong gear.,negative,3,n,
R14,"The initial dispatch brought the wrong mounting brackets for our access points, but your team expedited the correct parts for next-day installation.",mixed,2,y,
R15,Our team appreciated how thoroughly the workspace was cleaned up after the UPS battery replacement and diagnostic check finished.,positive,1,y,
R16,Managing a busy office floor is tough enough without the tech showing up completely empty-handed for the router replacement because headquarters dispatched them with instructions for a different building model entirely.,negative,2,y,
R17,Having the wrong transceiver modules in the initial kit pushed the completion date back by three business days while waiting on the courier.,negative,2,n,
R18,"Sorting out the billing error took way too many phone calls, but once the accounts team finally got involved, they fixed the invoice within the hour.",negative,2,y,
R19,"To your team, the server repair was completed and the floor was swept of old cable ties before departure.",neutral,2,n,
R20,"Routine maintenance was completed, but the specialist showed up four hours past our scheduled maintenance window.",mixed,3,y,
R21,"To your team: the initial access point replacement did not resolve the dropouts, so a second visit was required to swap out the PoE switch.",negative,1,y,
R22,"Our security cameras are recording properly now, but the router replacement took twice as long as originally quoted.",mixed,2,y,
R23,"To your management: the crew that installed our server rack wore shoe covers, cleaned their workspace thoroughly, and completed the job without interrupting our staff.",positive,2,y,somewhat neutral
R24,Overcharged for labor hours that the technician did not actually spend on site during the UPS battery replacement dispute.,negative,3,n,
R25,Waiting around for a second visit because the wrong access points were brought is extremely efficient.,negative,2,n,
R26,"We received no advance notice about the maintenance window, but the tech did verify our UPS battery status thoroughly.",mixed,2,n,
R27,"To the team, even though an older access point was accidentally cracked during the rack mounting, your crew resolved the issue and finished the entire fiber cabling overhaul ahead of schedule.",mixed,3,n,mostly positive
R28,All network inspection tests passed cleanly and our routers have been humming along smoothly.,neutral,2,y,
R29,"Working from a facility with multiple wiring closets, we found it frustrating that the tech arrived with the wrong switch configuration profile, forcing us to wait while they downloaded the correct files.",negative,2,y,
R30,"Dear service department, we love having a damaged security camera housing replaced after waiting a week, because now the office network runs fine while we wait for the credit memo.",negative,2,y,sarcasm
R31,Unfinished cable management left all over the newly upgraded server rack. Wires dangling everywhere and empty cardboard boxes abandoned across the room.,negative,2,y,
R32,"The invoice for the hardware upgrade arrived before the equipment was even fully operational, which is a nice trick.",negative,2,n,sarcasm
R33,"The invoice balance was corrected after I called, and the staff remained polite throughout.",positive,3,n,somewhat neutral
R34,"Tech showed up an hour late, but dispatch texted us the updated ETA beforehand so we could adjust.",mixed,2,n,
R35,"Quick arrival right on the dot, making the annual access point inspection fit easily into our morning rush.",positive,1,y,
R36,"Ever since the network inspection last week, we have been trying to sort out the unexpected extra charges appearing on our billing statement.",negative,2,n,
R37,"Our office lost two productive morning hours waiting around for the technician, yet the full maintenance charge still appeared on our invoice.",negative,3,n,
R38,"Packaging materials and wire scraps were left behind near the main distribution frame, though the switch installation itself was completed on schedule.",mixed,2,y,
R39,"Waiting around for the tech was frustrating since they showed up well past the scheduled arrival window, though the work itself got finished without any other issues.",mixed,2,n,
R40,"Initial scheduling conflicts delayed the switch installation by two days, but the technician arrived promptly on the rescheduled date and finished the setup.",mixed,3,n,
